"281470698561792","281470698562047","TH","Thailand","Surat Thani","Koh Tao","10.098080","99.838090","84280","+07:00"
"281470698562048","281470698562303","TH","Thailand","Surat Thani","Ko Samui","9.535670","99.935670","84140","+07:00"
"281470698562304","281470698562559","TH","Thailand","Surat Thani","Koh Tao","10.098080","99.838090","84280","+07:00"
"281470698562560","281470698562815","TH","Thailand","Phatthalung","Khuan Khanun","7.734700","100.009310","93110","+07:00"
"281470698562816","281470698563071","TH","Thailand","Chiang Mai","San Pa Tong","18.628280","98.895720","50120","+07:00"
"281470698563072","281470698563583","TH","Thailand","Surat Thani","Ko Pha Ngan","9.719450","99.995110","84280","+07:00"
"281470698563584","281470698563839","TH","Thailand","Phetchaburi","Cha-am","12.800135","99.966107","76120","+07:00"
"281470698563840","281470698564095","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"281470698564096","281470698564351","TH","Thailand","Surat Thani","Ko Samui","9.535670","99.935670","84140","+07:00"
"281470698564352","281470698564607","TH","Thailand","Phra Nakhon Si Ayutthaya","Wang Noi","14.226890","100.715500","13170","+07:00"
"281470698564608","281470698565119","TH","Thailand","Phatthalung","Phatthalung","7.617860","100.077920","93170","+07:00"
"281470698565120","281470698565375","TH","Thailand","Surat Thani","Koh Tao","10.098080","99.838090","84280","+07:00"
"281470698565376","281470698565631","TH","Thailand","Nakhon Si Thammarat","Phra Phrom","8.339110","99.900920","80230","+07:00"
"281470698565632","281470698565887","TH","Thailand","Chon Buri","Sattahip","12.666440","100.900730","20180","+07:00"
"281470698565888","281470698566143","TH","Thailand","Chanthaburi","Chanthaburi","12.609610","102.104470","22210","+07:00"
"281470698566144","281470698566399","TH","Thailand","Chachoengsao","Bang Pakong","13.542970","100.993330","24130","+07:00"
"281470698566400","281470698566655","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"281470698566656","281470698567167","TH","Thailand","Rayong","Klaeng","12.779720","101.648310","21110","+07:00"
"281470698567168","281470698567423","TH","Thailand","Chon Buri","Sattahip","12.666440","100.900730","20180","+07:00"
"281470698567424","281470698567679","TH","Thailand","Rayong","Klaeng","12.779720","101.648310","21110","+07:00"
"281470698567680","281470698567935","TH","Thailand","Sa Kaeo","Aranyaprathet","13.692760","102.501280","27120","+07:00"
"281470698567936","281470698568191","TH","Thailand","Rayong","Rayong","12.680808","101.257693","21000","+07:00"
"281470698568192","281470698568447","TH","Thailand","Chon Buri","Phanat Nikhom","13.445810","101.184450","20140","+07:00"
"281470698568448","281470698568703","TH","Thailand","Chanthaburi","Chanthaburi","12.609610","102.104470","22210","+07:00"
"281470698568704","281470698568959","TH","Thailand","Chachoengsao","Sanam Chai Khet","13.658640","101.439060","24160","+07:00"
"281470698568960","281470698569215","TH","Thailand","Rayong","Rayong","12.680808","101.257693","21000","+07:00"
"281470698569216","281470698569471","TH","Thailand","Nakhon Si Thammarat","Nakhon Si Thammarat","8.433330","99.966670","80230","+07:00"
"281470698569472","281470698569727","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"281470698569728","281470698569983","TH","Thailand","Krabi","Krabi","8.072570","98.910520","81000","+07:00"
"281470698569984","281470698570239","TH","Thailand","Phuket","Phuket","7.890479","98.398106","83120","+07:00"
"281470698570240","281470698570495","TH","Thailand","Phatthalung","Khuan Khanun","7.734700","100.009310","93110","+07:00"
"281470698570496","281470698570751","TH","Thailand","Surat Thani","Surat Thani","9.140110","99.333110","84150","+07:00"
"281470698570752","281470698571007","TH","Thailand","Surat Thani","Koh Tao","10.098080","99.838090","84280","+07:00"
"281470698571008","281470698571263","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"281470698571264","281470698571519","TH","Thailand","Surat Thani","Ko Samui","9.535670","99.935670","84140","+07:00"
